# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
3.78	0.00783574	0.00317242	0.0304082	-0.00521854	0.0260579	-0.000294112	0.310465	15.2718	2955.36	0.834964	4.53575
3.8	0.00694206	0.00309569	0.0304062	-0.0535442	-0.00383656	-9.79751e-05	0.391323	16.9723	2955.28	-1.13119	-7.69333
3.82	0.00748183	0.00405235	0.0304082	0.0324364	0.047833	9.79751e-05	0.250541	14.4591	2955.23	1.22418	7.52597
3.84	0.00661448	0.00405235	0.030416	-0.0519683	2.56114e-07	0.000392087	0.381804	16.7288	2955.23	-1.13268	-7.61581
3.86	0.00705678	0.00505868	0.0304102	0.026584	0.0503161	-0.000294019	0.242563	14.3743	2955.33	1.35089	7.47751
3.88	0.00596522	0.00509299	0.03042	-0.0654221	0.00171575	0.000489969	0.375904	16.7119	2955.26	-1.73297	-7.87479
3.9	0.00682263	0.00615562	0.0304219	0.0514877	0.0531315	9.79751e-05	0.238484	14.3737	2955.31	1.02328	7.77234
3.92	0.00649411	0.00620679	0.0304239	-0.019644	0.00255848	9.79751e-05	0.375647	16.5877	2955.25	0.0816952	-0.252116
3.94	0.0061651	0.00632103	0.0304258	-0.0196745	0.00571171	9.79751e-05	0.367409	16.4184	2955.23	0.111049	-0.129661
3.96	0.00580293	0.00647524	0.0304278	-0.0216669	0.00771072	9.79751e-05	0.362101	16.3447	2955.34	0.0688931	-0.829819
3.98	0.00545623	0.00674866	0.0304337	-0.0207423	0.0136711	0.000293832	0.345382	16.0642	2955.44	0.165921	-0.258727
4	0.00501778	0.0070832	0.0304376	-0.0262512	0.0167266	0.000195857	0.337546	15.9404	2955.4	-0.0500085	-2.35595
4.02	0.00472014	0.0077294	0.0304415	-0.0178098	0.0323104	0.000195857	0.295322	15.2899	2955.27	0.360909	1.79396
4.04	0.00412532	0.00813773	0.0304611	-0.0356393	0.0204162	0.00097882	0.327628	15.9294	2955.33	-0.562751	-5.33567
4.06	0.00422325	0.00925024	0.030467	0.00590777	0.0556258	0.000293553	0.232644	14.596	2955.25	1.24253	7.06162
