# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.175	0.0310524	-0.000595406	0.0325995	0.0159874	-0.00753172	0	0.0189366	0.000148159	178.747	0	0
0.176	0.0310302	-0.000603023	0.0325995	-0.0221843	-0.00761653	0	0.0191397	0.000208476	178.748	0	0
0.177	0.0310463	-0.000610709	0.0325995	0.0160463	-0.00768609	0	0.0193079	0.000236413	178.748	0	0
0.178	0.0310241	-0.000618456	0.0325995	-0.022126	-0.00774692	0	0.0194558	0.000183157	178.748	0	0
0.179	0.0310402	-0.000626263	0.0325995	0.0161041	-0.00780681	0	0.0196033	0.000164656	178.749	0	0
0.18	0.0310182	-0.000634135	0.0325995	-0.0220688	-0.00787183	0	0.0197616	0.000143858	178.749	0	0
0.181	0.0310343	-0.000642076	0.0325995	0.0161608	-0.00794133	0	0.0199308	0.00015527	178.749	0	0
0.182	0.0310123	-0.000650059	0.0325995	-0.0220127	-0.00798365	0	0.0200343	0.000184341	178.748	0	0
0.183	0.0310285	-0.0006581	0.0325995	0.0162163	-0.00804075	0	0.020172	0.000236276	178.748	0	0
0.184	0.0310066	-0.000666226	0.0325995	-0.0219576	-0.00812602	0	0.020375	0.000150071	178.748	0	0
0.185	0.0310228	-0.000674437	0.0325995	0.0162709	-0.00821048	0	0.0205759	0.000180706	178.748	0	0
0.186	0.0310009	-0.00068269	0.0325995	-0.0219035	-0.00825321	0	0.0206819	0.000163628	178.748	0	0
0.187	0.0310173	-0.000691018	0.0325995	0.0163245	-0.00832818	0	0.0208602	0.000165077	178.748	0	0
0.188	0.0309954	-0.000699401	0.0325995	-0.0218504	-0.00838278	0	0.0209933	0.000184439	178.748	0	0
0.189	0.0310118	-0.000707869	0.0325995	0.0163771	-0.00846764	0	0.0211944	0.000167141	178.748	0	0
0.19	0.03099	-0.000716422	0.0325995	-0.0217983	-0.00855327	0	0.0213991	0.000188001	178.748	0	0
0.191	0.0310064	-0.000725051	0.0325995	0.0164287	-0.0086294	0	0.0215803	0.0002212	178.748	0	0
0.192	0.0309847	-0.00073372	0.0325995	-0.0217472	-0.00866858	0	0.0216775	0.000170259	178.748	0	0
0.193	0.0310012	-0.000742446	0.0325995	0.0164793	-0.00872597	0	0.0218173	0.000218665	178.748	0	0
0.194	0.0309795	-0.000751239	0.0325995	-0.0216972	-0.00879361	0	0.0219781	0.000222004	178.747	0	0
0.195	0.030996	-0.000760129	0.0325995	0.0165287	-0.00888971	0	0.0222057	0.000179417	178.747	0	0
0.196	0.0309743	-0.000769111	0.0325976	-0.0216482	-0.00898144	-0.00182912	0.0224234	0.000221199	178.748	0	0
0.197	0.0309909	-0.000778135	0.0325976	0.0165772	-0.00902481	0	0.0225302	0.000185907	178.748	0	0
0.198	0.0309693	-0.000787237	0.0325976	-0.0216002	-0.0091017	0	0.0227132	0.000175077	178.748	0	0
0.199	0.0309858	-0.000796404	0.0325995	0.0165403	-0.00916701	0.00182912	0.023027	0.000204223	178.748	0	0
0.2	0.0309643	-0.000805708	0.0325976	-0.0215169	-0.00930385	-0.00182912	0.022921	0.000218988	178.748	0	0
0.201	0.030981	-0.000814972	0.0325976	0.0166822	-0.00926398	0	0.0237421	0.000224946	178.748	0	0
0.202	0.0309597	-0.00082444	0.0325976	-0.0213478	-0.00946812	0	0.0228861	0.000197258	178.748	0	0
0.203	0.0309765	-0.000833823	0.0325976	0.0167821	-0.00938296	0	0.0240341	0.000201284	178.748	0	0
0.204	0.0309552	-0.000843465	0.0325976	-0.0212838	-0.0096421	0	0.0232231	0.000192559	178.748	0	0
0.205	0.030972	-0.000852989	0.0325976	0.0168381	-0.00952429	0	0.0243519	0.000221258	178.748	0	0
0.206	-0.0342435	-0.000862765	0.0325976	-0.0212213	-0.00977574	0	0.0235564	0.000195252	178.748	0	0
0.207	-0.0342266	-0.000872463	0.0325976	0.0168989	-0.00969775	0	0.0247604	0.000216877	178.748	0	0
0.208	-0.0342478	-0.000882411	0.0325976	-0.0211624	-0.00994821	0	0.023961	0.000228935	178.748	0	0
