# t	p	dpdt	w	dwdt	ctrl	T	V
5.52286	-0.0176284	-0.0558602	-2.37447	0.0144788	0	0.0280843	196.17
5.55644	-0.0198753	-0.0784052	-2.37347	0.0469911	0	0.0479538	196.161
5.5899	-0.0229169	-0.10402	-2.3712	0.090817	-10	0.0749607	196.148
5.62351	-0.0231308	0.0912497	-2.38454	-0.879549	0	0.1878	196.148
5.65704	-0.0205188	0.0650612	-2.41158	-0.735061	0	0.148247	196.159
5.69047	-0.0187427	0.0415677	-2.43388	-0.600499	0	0.11578	196.166
5.72403	-0.0177187	0.0196545	-2.45186	-0.471468	0	0.0890582	196.169
5.75756	-0.0174144	-0.00143746	-2.46554	-0.345478	0	0.0676522	196.17
5.79101	-0.0178142	-0.0225433	-2.475	-0.21954	0	0.0513842	196.169
5.82451	-0.0189347	-0.0445856	-2.4802	-0.0901379	0	0.0404199	196.165
5.85809	-0.0208272	-0.0684895	-2.48108	0.0208813	0	0.0414286	196.157
5.89154	-0.0235534	-0.0950504	-2.47963	0.0681537	-10	0.0669955	196.146
5.92511	-0.0234814	0.0993573	-2.49365	-0.898713	0	0.185869	196.146
5.9587	-0.0205986	0.0728699	-2.52135	-0.75306	0	0.14555	196.158
5.9923	-0.0185528	0.049324	-2.54436	-0.618057	0	0.112506	196.166
6.02587	-0.0172628	0.0277985	-2.56295	-0.490434	0	0.0854913	196.171
6.0595	-0.0166736	0.00735473	-2.57736	-0.366629	0	0.0636858	196.173
6.09298	-0.0167627	-0.0126972	-2.58759	-0.244473	0	0.0468988	196.172
6.12672	-0.017538	-0.033419	-2.59374	-0.119515	0	0.0349984	196.17
6.16041	-0.0190305	-0.0554793	-2.5956	0.00480441	0	0.0297263	196.164
6.19384	-0.021281	-0.0796001	-2.59483	0.0432582	0	0.0506206	196.156
6.22743	-0.0244051	-0.107048	-2.59257	0.0935399	-10	0.0793638	196.142
6.26098	-0.0247582	0.0859292	-2.60565	-0.867899	0	0.189905	196.14
